Time,Open,High,Low,Close,Volume
2022-09-22 10:30:00,141.645,141.9,141.638,141.869,1438
2022-09-22 10:35:00,141.868,141.932,141.812,141.858,1224
2022-09-22 10:40:00,141.86,142.04,141.858,141.97,1383
2022-09-22 10:45:00,141.968,142.178,141.92,142.096,1365
2022-09-22 10:50:00,142.096,142.192,142.082,142.151,1162
2022-09-22 10:55:00,142.15,142.159,142.026,142.039,832
2022-09-22 11:00:00,142.039,142.193,142.032,142.16,1101
2022-09-22 11:05:00,142.16,142.334,142.148,142.263,1049
2022-09-22 11:10:00,142.264,142.389,142.25,142.252,1011
2022-09-22 11:15:00,142.25,142.338,142.163,142.174,873
2022-09-22 11:20:00,142.176,142.338,142.173,142.334,799
2022-09-22 11:25:00,142.336,142.356,142.216,142.244,909
2022-09-22 11:30:00,142.242,142.278,142.086,142.164,903
2022-09-22 11:35:00,142.162,142.22,142.144,142.215,618
2022-09-22 11:40:00,142.216,142.308,142.212,142.288,790
2022-09-22 11:45:00,142.288,142.296,142.118,142.14,804
2022-09-22 11:50:00,142.142,142.152,141.892,141.94,813
2022-09-22 11:55:00,141.942,142.188,141.935,142.166,641
2022-09-22 12:00:00,142.167,142.24,142.144,142.187,869
2022-09-22 12:05:00,142.186,142.338,142.164,142.301,833
2022-09-22 12:10:00,142.303,142.382,142.303,142.332,768
2022-09-22 12:15:00,142.332,142.416,142.33,142.351,669
2022-09-22 12:20:00,142.353,142.366,142.277,142.314,621
2022-09-22 12:25:00,142.314,142.336,142.272,142.282,420
2022-09-22 12:30:00,142.279,142.291,142.22,142.232,591
2022-09-22 12:35:00,142.232,142.232,142.168,142.213,680
2022-09-22 12:40:00,142.211,142.395,142.211,142.338,675
2022-09-22 12:45:00,142.347,142.446,142.34,142.365,682
2022-09-22 12:50:00,142.366,142.368,142.28,142.3,484
2022-09-22 12:55:00,142.302,142.408,142.301,142.363,573
2022-09-22 13:00:00,142.364,142.371,142.296,142.322,590
2022-09-22 13:05:00,142.322,142.346,142.262,142.307,437
2022-09-22 13:10:00,142.306,142.308,142.252,142.257,339
2022-09-22 13:15:00,142.255,142.262,142.134,142.15,365
2022-09-22 13:20:00,142.15,142.216,142.141,142.193,401
2022-09-22 13:25:00,142.191,142.196,142.096,142.103,399
2022-09-22 13:30:00,142.1,142.178,142.1,142.137,532
2022-09-22 13:35:00,142.137,142.22,142.126,142.19,552
2022-09-22 13:40:00,142.19,142.29,142.166,142.285,564
2022-09-22 13:45:00,142.281,142.336,142.276,142.33,427
2022-09-22 13:50:00,142.328,142.334,142.286,142.291,312
2022-09-22 13:55:00,142.293,142.315,142.281,142.3,282
2022-09-22 14:00:00,142.296,142.378,142.278,142.352,529
